EDITION,NAME,TOKEN,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:INTELLIGENCE,ATTRIBUTE:HEART,ATTRIBUTE:BACKGROUND,ATTRIBUTE:CIRCLE,ATTRIBUTE:ELEMENTAL,ATTRIBUTE:COLOR,ATTRIBUTE:EYES,ATTRIBUTE:SCALES,ATTRIBUTE:CHEST,ATTRIBUTE:SPIKES,ATTRIBUTE:ARMOUR,ATTRIBUTE:HORN,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
2677,GNOGONS #2677,XGNOGONS-0a6d4c-0A75,98,93,91,97,94,97,Midnight Navy,Beluga,Time,Lunar Landing,Cerulean,Oceanic,Marine,Scarab,Seashell,Mystic,450.16,1380,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2677.png,
2678,GNOGONS #2678,XGNOGONS-0a6d4c-0A76,80,94,93,91,99,97,Almond Skin,Forrest,Alloys,Gnogons,Violet,Tough,Maiar Blue,Scarab,Special Task Force,Elder,359.94,4182,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2678.png,
2679,GNOGONS #2679,XGNOGONS-0a6d4c-0A77,94,93,96,92,89,94,Almond Skin,Aura,Sun,Fire Blast,Emerald,Diamond,Marine,Volt,Metal,Golden Sunset,435.63,1647,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2679.png,
2680,GNOGONS #2680,XGNOGONS-0a6d4c-0A78,95,93,98,92,93,96,Jet Black,Matte,Thunder,Death,Charcoal,Mountain,Gold Plated,Photosynthesis,Crusader,Warrior,366.63,3847,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2680.png,
2681,GNOGONS #2681,XGNOGONS-0a6d4c-0A79,80,97,92,99,92,90,Pure Red,Beluga,Alloys,Destiny,Violet,Lagoon,Maiar Blue,Mist,Seashell,Skeletor,465.07,1189,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2681.png,
2682,GNOGONS #2682,XGNOGONS-0a6d4c-0A7A,95,93,96,91,95,96,Hot Pink,Bone,Ether,Darkmode,Gold,Oceanic,Blizzard,Beauty,None,Alien,371.98,3583,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2682.png,
2683,GNOGONS #2683,XGNOGONS-0a6d4c-0A7B,85,93,89,96,94,89,Almond Skin,Plum,Moon,Kobe,Charcoal,Oceanic,Steel Scales,Frost,Seashell,Omega,410.07,2227,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2683.png,
2684,GNOGONS #2684,XGNOGONS-0a6d4c-0A7C,91,96,94,95,90,90,Hot Pink,Tiffany,Plant,Cotton Candy,Cerulean,Toxic,Atlantis,Frost,Rise,Mystic,335.76,5558,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2684.png,
2685,GNOGONS #2685,XGNOGONS-0a6d4c-0A7D,91,91,93,93,94,92,Black Charcoal,Taupe,Decay,Diamond Hands,Citrus,Dragonguard,Platinum,Dusk,None,Prism Frost,285.33,8772,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2685.png,
2686,GNOGONS #2686,XGNOGONS-0a6d4c-0A7E,60,89,95,97,95,92,Tiffany Sea,Taupe,Ether,Bubble Gum,Citrus,Mountain,Steel Scales,Blades,None,Super,305.29,7603,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2686.png,
2687,GNOGONS #2687,XGNOGONS-0a6d4c-0A7F,92,93,99,96,94,90,Fast Furious,Matte,Thunder,Gnogons,Emerald,Tough,Gold Plated,Jira,None,Pharoah,396.36,2670,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2687.png,
2688,GNOGONS #2688,XGNOGONS-0a6d4c-0A80,80,93,94,96,95,97,Standard Issue,Matte,Fire,Death,Violet,Mountain,Maiar Blue,Silver,None,Super,278.63,9094,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2688.png,
2689,GNOGONS #2689,XGNOGONS-0a6d4c-0A81,60,98,91,94,92,94,Twilight Zone,Matte,Ice,Lunar Landing,Citrus,Oceanic,Maiar Blue,Bones,None,Mystic,336.87,5481,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2689.png,
2690,GNOGONS #2690,XGNOGONS-0a6d4c-0A82,99,94,94,97,94,93,Almond Skin,Aura,Fear,Death,Sky,Diamond,Desert Storm,Photosynthesis,None,Moonlight Rider,344.34,5039,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2690.png,
2691,GNOGONS #2691,XGNOGONS-0a6d4c-0A83,91,94,95,96,91,98,Midnight Navy,Taupe,Ether,Lockness,Cerulean,Mountain,Gold Plated,Ifrit,Rise,Metaversed,396.14,2679,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2691.png,
2692,GNOGONS #2692,XGNOGONS-0a6d4c-0A84,80,98,91,97,94,94,Fast Furious,Deep Sea,Spirit,Cotton Candy,Offwhite,Dragonguard,Gold Plated,Scarab,None,Stealth Mode,374.88,3462,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2692.png,
2693,GNOGONS #2693,XGNOGONS-0a6d4c-0A85,85,94,93,97,94,95,Fast Furious,Matte,Gnogen,Diamond Hands,Autumn,Toxic,Marine,Hazard,Royal Armor,Moonlight Rider,302.14,7822,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2693.png,
2694,GNOGONS #2694,XGNOGONS-0a6d4c-0A86,93,94,89,91,95,89,Undriven Snow,Taupe,Alloys,Rival,Sky,Dragonguard,Maiar Blue,Blades,None,Warrior,278.46,9102,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2694.png,
2695,GNOGONS #2695,XGNOGONS-0a6d4c-0A87,91,98,90,92,95,96,Undriven Snow,Bone,Spirit,Rival,Autumn,Oceanic,Atlantis,Hazard,None,Prism Frost,358.52,4256,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2695.png,
2696,GNOGONS #2696,XGNOGONS-0a6d4c-0A88,94,91,92,93,93,90,Gnogen Burst,Cyber,Fear,Guardian of Earth,Emerald,Mountain,Marine,Photosynthesis,None,Elder,297.45,8091,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2696.png,
2697,GNOGONS #2697,XGNOGONS-0a6d4c-0A89,93,97,93,94,89,94,Standard Issue,Matte,Moon,Death,Gold,Mountain,Desert Storm,Jira,None,Warrior,271.1,9408,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2697.png,
2698,GNOGONS #2698,XGNOGONS-0a6d4c-0A8A,80,93,95,95,92,90,Tiffany Sea,Bone,Water,Diamond Hands,Violet,Lagoon,Maiar Blue,Icicles,None,Iridescent,277.21,9149,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2698.png,
2699,GNOGONS #2699,XGNOGONS-0a6d4c-0A8B,99,95,96,96,93,97,Gnogen Burst,Matte,Plant,Lockness,Violet,Toxic,Desert Storm,Eco,None,God of Thunder,433.07,1703,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2699.png,
2700,GNOGONS #2700,XGNOGONS-0a6d4c-0A8C,99,95,95,92,91,95,Midnight Navy,Blush,Ice,Guardian of Earth,Offwhite,Diamond,Cave,Scarab,None,Scythe,372.95,3542,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2700.png,
2701,GNOGONS #2701,XGNOGONS-0a6d4c-0A8D,93,94,94,89,92,93,Fast Furious,Blush,Spirit,Lunar Landing,Citrus,Lagoon,Marine,Jira,None,Warrior,251.69,9859,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2701.png,
2702,GNOGONS #2702,XGNOGONS-0a6d4c-0A8E,94,92,98,99,98,94,Jet Black,Bone,Time,Fire Blast,Cerulean,Diamond,Plated,Ifrit,Rise,Inferno,469.07,1142,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2702.png,
2703,GNOGONS #2703,XGNOGONS-0a6d4c-0A8F,85,94,93,94,90,91,Twilight Zone,Bone,Moon,Darkmode,Charcoal,Dragonguard,Mech Suit,Razor,Special Task Force,Aviators,271.37,9397,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2703.png,
2704,GNOGONS #2704,XGNOGONS-0a6d4c-0A90,96,99,96,92,95,91,Almond Skin,GNG,Ether,Lockness,Dragonfruit,Oceanic,Gold Plated,Beauty,Rise,Alien,432.02,1726,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2704.png,
2705,GNOGONS #2705,XGNOGONS-0a6d4c-0A91,96,97,98,91,95,96,Twilight Zone,Cyber,Fire,Death,Sky,Mountain,Marine,Sacrifice,None,Inferno,347.3,4861,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2705.png,
2706,GNOGONS #2706,XGNOGONS-0a6d4c-0A92,75,97,94,94,95,95,Standard Issue,Forrest,Decay,Cotton Candy,Citrus,Oceanic,Marine,Razor,MEX,Healer,300.34,7937,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2706.png,
2707,GNOGONS #2707,XGNOGONS-0a6d4c-0A93,93,91,95,97,96,97,Standard Issue,GNG,Gnogen,God of War,Gold,Oceanic,Blizzard,Jira,Royal Armor,Inferno,319.17,6685,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2707.png,
2708,GNOGONS #2708,XGNOGONS-0a6d4c-0A94,85,94,92,94,98,92,Fast Furious,Matte,Water,Diamond Hands,Autumn,Dragonguard,Platinum,Silver,Centurion,Moonlight Rider,339.02,5358,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2708.png,
2709,GNOGONS #2709,XGNOGONS-0a6d4c-0A95,92,98,96,92,89,89,Fast Furious,Aura,Alloys,Death,Sky,Dragonguard,Mech Suit,Icicles,None,Healer,309.07,7374,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2709.png,
2710,GNOGONS #2710,XGNOGONS-0a6d4c-0A96,85,98,90,98,94,90,Midnight Navy,Bananas,Fear,24 Karat,Emerald,Diamond,Gold Plated,Jira,None,Shards of Darkness,389.45,2907,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2710.png,
2711,GNOGONS #2711,XGNOGONS-0a6d4c-0A97,85,97,92,94,96,96,Twilight Zone,Bananas,Sun,Kobe,Gold,Mountain,Blizzard,Volt,Royal Armor,Iridescent,300.84,7901,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2711.png,
2712,GNOGONS #2712,XGNOGONS-0a6d4c-0A98,91,95,94,98,89,94,Pure Red,GNG,Ice,Bubble Gum,Citrus,Oceanic,Cave,Mist,None,Ancient,434.53,1671,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2712.png,
2713,GNOGONS #2713,XGNOGONS-0a6d4c-0A99,92,94,90,91,94,91,Almond Skin,Beluga,Ice,24 Karat,Emerald,Toxic,Steel Scales,Scarab,Centurion,Protector,306.98,7497,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2713.png,
2714,GNOGONS #2714,XGNOGONS-0a6d4c-0A9A,91,95,94,97,90,96,Hot Pink,Bananas,Sun,Guardian of Earth,Sky,Lagoon,Cave,Razor,None,Mystic,324.52,6334,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2714.png,
2715,GNOGONS #2715,XGNOGONS-0a6d4c-0A9B,95,91,95,89,98,91,Black Charcoal,Deep Sea,Alloys,Kobe,Emerald,Tough,Cave,Sacrifice,None,Aviators,344.44,5032,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2715.png,
2716,GNOGONS #2716,XGNOGONS-0a6d4c-0A9C,85,97,94,100,90,90,Tiffany Sea,Aura,Alloys,God of War,Sky,Toxic,Steel Scales,Icicles,Blackbox,Alien,1095.83,149,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2716.png,
2717,GNOGONS #2717,XGNOGONS-0a6d4c-0A9D,93,93,95,96,97,91,Jet Black,Plum,Ice,Lockness,Autumn,Oceanic,Steel Scales,Rainbow,Seashell,Mountaineer,344.13,5052,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2717.png,
2718,GNOGONS #2718,XGNOGONS-0a6d4c-0A9E,100,95,98,96,89,95,Twilight Zone,GNG,Water,Cotton Candy,Sky,Mountain,Marine,Jira,None,Priest,1252.09,42,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2718.png,
2719,GNOGONS #2719,XGNOGONS-0a6d4c-0A9F,90,100,90,93,91,90,Undriven Snow,GNG,Ether,Diamond Hands,Gold,Mountain,Blizzard,Beauty,None,Metaversed,958.9,331,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2719.png,
2720,GNOGONS #2720,XGNOGONS-0a6d4c-0AA0,85,98,98,94,90,93,Midnight Navy,Tiffany,Fire,Gnogons,Citrus,Lagoon,Blizzard,Mist,Centurion,Stealth Mode,422.27,1934,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2720.png,
2721,GNOGONS #2721,XGNOGONS-0a6d4c-0AA1,75,95,93,92,89,96,Standard Issue,Deep Sea,Moon,Destiny,Citrus,Toxic,Stealthmode,Plasma,Crusader,Super,300.18,7946,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2721.png,
2722,GNOGONS #2722,XGNOGONS-0a6d4c-0AA2,91,90,90,94,95,92,Standard Issue,Blush,Alloys,Fire Blast,Charcoal,Dragonguard,Cave,Beauty,Seashell,Warrior,279.76,9042,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2722.png,
2723,GNOGONS #2723,XGNOGONS-0a6d4c-0AA3,70,100,93,94,97,91,Standard Issue,Taupe,Fear,Gnogons,Cerulean,Mountain,Plated,Silver,None,Moonlight Rider,902.44,441,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2723.png,
2724,GNOGONS #2724,XGNOGONS-0a6d4c-0AA4,85,93,95,91,93,96,Standard Issue,Tiffany,Sun,Diamond Hands,Cerulean,Oceanic,Steel Scales,Rainbow,None,God of Thunder,285.18,8777,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2724.png,
2725,GNOGONS #2725,XGNOGONS-0a6d4c-0AA5,96,93,94,96,96,97,Gnogen Burst,Taupe,Fire,Lockness,Sky,Toxic,Steel Scales,Rainbow,None,Omega,444.61,1461,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2725.png,
2726,GNOGONS #2726,XGNOGONS-0a6d4c-0AA6,94,99,92,96,98,93,Undriven Snow,Plum,Sun,Diamond Hands,Emerald,Diamond,Atlantis,Bones,Crusader,Post Battle,401.79,2478,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2726.png,
2727,GNOGONS #2727,XGNOGONS-0a6d4c-0AA7,70,90,95,93,94,92,Twilight Zone,Aura,Fire,Kobe,Gold,Toxic,Steel Scales,Sacrifice,None,Elder,286.02,8738,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2727.png,
2728,GNOGONS #2728,XGNOGONS-0a6d4c-0AA8,75,91,92,94,98,94,Holograph,Bone,Sun,Kobe,Offwhite,Lagoon,Maiar Blue,Frost,Seashell,Gnogent,485.93,1005,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2728.png,
2729,GNOGONS #2729,XGNOGONS-0a6d4c-0AA9,99,97,93,98,89,93,Midnight Navy,Tiffany,Gnogen,Darkmode,Violet,Oceanic,Marine,Volt,Special Task Force,Victory Crown,431.15,1752,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2729.png,
2730,GNOGONS #2730,XGNOGONS-0a6d4c-0AAA,96,93,90,91,97,90,Midnight Navy,Tiffany,Alloys,Death,Gold,Toxic,Stealthmode,Bones,Blackbox,Wisdom,337,5474,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2730.png,
2731,GNOGONS #2731,XGNOGONS-0a6d4c-0AAB,85,96,98,94,89,94,Almond Skin,Bone,Fear,Lockness,Gold,Lagoon,Blizzard,Blades,None,Healer,304.73,7651,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2731.png,
2732,GNOGONS #2732,XGNOGONS-0a6d4c-0AAC,90,92,94,95,90,94,Hot Pink,Cyber,Alloys,Diamond Hands,Dragonfruit,Diamond,Atlantis,Bones,None,Metaversed,294.42,8277,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2732.png,
2733,GNOGONS #2733,XGNOGONS-0a6d4c-0AAD,96,94,97,93,94,97,Standard Issue,Deep Sea,Water,Destiny,Citrus,Toxic,Mech Suit,Bones,None,Shards of Darkness,307.5,7464,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2733.png,
2734,GNOGONS #2734,XGNOGONS-0a6d4c-0AAE,97,96,95,95,95,94,Midnight Navy,Bone,Decay,Guardian of Earth,Cerulean,Toxic,Marine,Moss,Crusader,Skeletor,465.71,1183,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2734.png,
2735,GNOGONS #2735,XGNOGONS-0a6d4c-0AAF,94,89,98,96,96,95,Midnight Navy,Taupe,Plant,Darkmode,Emerald,Oceanic,Marine,Sacrifice,MEX,Healer,345.5,4964,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2735.png,
2736,GNOGONS #2736,XGNOGONS-0a6d4c-0AB0,96,96,94,93,94,91,Undriven Snow,GNG,Alloys,Cotton Candy,Autumn,Oceanic,Steel Scales,Rainbow,None,Pharoah,350.34,4677,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2736.png,
2737,GNOGONS #2737,XGNOGONS-0a6d4c-0AB1,65,94,91,97,94,91,Almond Skin,Bone,Plant,Fire Blast,Charcoal,Diamond,Cave,Silver,None,Super,244.71,9942,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2737.png,
2738,GNOGONS #2738,XGNOGONS-0a6d4c-0AB2,70,93,90,99,92,95,Pure Red,Beluga,Fire,Guardian of Earth,Sky,Toxic,Mech Suit,Chariot,None,Destroyer,388.37,2946,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2738.png,
2739,GNOGONS #2739,XGNOGONS-0a6d4c-0AB3,85,92,94,98,94,92,Midnight Navy,Matte,Alloys,Death,Citrus,Lagoon,Cave,Mist,Blackbox,Inferno,322.44,6470,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2739.png,
2740,GNOGONS #2740,XGNOGONS-0a6d4c-0AB4,97,95,98,91,92,95,Twilight Zone,GNG,Ice,Cotton Candy,Cerulean,Oceanic,Cave,Scarab,None,Protector,351.22,4627,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2740.png,
2741,GNOGONS #2741,XGNOGONS-0a6d4c-0AB5,96,97,94,95,96,92,Fast Furious,Taupe,Fire,Fire Blast,Gold,Mountain,Plated,Dusk,None,Skeletor,439.55,1560,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2741.png,
2742,GNOGONS #2742,XGNOGONS-0a6d4c-0AB6,96,94,89,97,91,91,Midnight Navy,Bananas,Sun,Cotton Candy,Violet,Mountain,Blizzard,Silver,None,Iridescent,254.6,9809,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2742.png,
2743,GNOGONS #2743,XGNOGONS-0a6d4c-0AB7,80,93,94,99,92,98,Midnight Navy,Cyber,Thunder,Rival,Dragonfruit,Oceanic,Gold Plated,Razor,Seashell,Protector,395.27,2704,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2743.png,
2744,GNOGONS #2744,XGNOGONS-0a6d4c-0AB8,94,95,97,93,93,97,Holograph,Bone,Fire,Death,Charcoal,Oceanic,Maiar Blue,Icicles,Metal,Golden Sunset,476.92,1071,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2744.png,
2745,GNOGONS #2745,XGNOGONS-0a6d4c-0AB9,95,98,94,94,95,92,Fast Furious,Bone,Fire,Lockness,Gold,Toxic,Mech Suit,Silver,MEX,Grim Reaper,371.23,3620,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2745.png,
2746,GNOGONS #2746,XGNOGONS-0a6d4c-0ABA,91,91,96,97,94,98,Undriven Snow,Deep Sea,Moon,Guardian of Earth,Emerald,Diamond,Cave,Photosynthesis,Rise,Shards of Darkness,358.81,4243,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2746.png,
2747,GNOGONS #2747,XGNOGONS-0a6d4c-0ABB,91,98,94,94,98,94,Midnight Navy,Plum,Decay,Guardian of Earth,Gold,Oceanic,Atlantis,Icicles,Crusader,God of Thunder,396.02,2683,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2747.png,
2748,GNOGONS #2748,XGNOGONS-0a6d4c-0ABC,95,94,94,98,93,92,Pure Red,Tiffany,Fear,24 Karat,Autumn,Mountain,Blizzard,Dusk,Rise,Golden Sunset,493.29,949,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2748.png,
2749,GNOGONS #2749,XGNOGONS-0a6d4c-0ABD,80,94,91,96,94,89,Undriven Snow,Beluga,Fire,Blockchain,Dragonfruit,Toxic,Mech Suit,Silver,Crusader,Healer,347.23,4867,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2749.png,
2750,GNOGONS #2750,XGNOGONS-0a6d4c-0ABE,85,95,91,94,92,91,Pure Red,Bananas,Spirit,Lunar Landing,Autumn,Mountain,Desert Storm,Silver,None,Ancient,374.16,3496,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2750.png,
2751,GNOGONS #2751,XGNOGONS-0a6d4c-0ABF,96,93,99,92,93,98,Twilight Zone,Cyber,Gnogen,Kobe,Emerald,Toxic,Atlantis,Moss,Rise,Iridescent,381.7,3193,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2751.png,
2752,GNOGONS #2752,XGNOGONS-0a6d4c-0AC0,65,95,89,94,89,94,Standard Issue,Forrest,Sun,24 Karat,Violet,Dragonguard,Desert Storm,Volt,None,Warrior,289.03,8564,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2752.png,
2753,GNOGONS #2753,XGNOGONS-0a6d4c-0AC1,96,91,98,94,94,97,Gnogen Burst,Tiffany,Moon,Lockness,Gold,Tough,Desert Storm,Hades,Crusader,Pharoah,468.33,1148,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2753.png,
2754,GNOGONS #2754,XGNOGONS-0a6d4c-0AC2,93,89,95,90,91,95,Standard Issue,Tiffany,Gnogen,Lockness,Offwhite,Mountain,Cave,Beauty,Treesuit,Moonlight Rider,449.87,1385,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2754.png,
2755,GNOGONS #2755,XGNOGONS-0a6d4c-0AC3,93,96,92,95,94,95,Pure Red,Beluga,Sun,Kobe,Charcoal,Oceanic,Atlantis,Scarab,None,Wisdom,295.24,8231,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2755.png,
2756,GNOGONS #2756,XGNOGONS-0a6d4c-0AC4,91,93,93,95,95,91,Midnight Navy,Blush,Water,Bubble Gum,Citrus,Oceanic,Desert Storm,Bones,None,Protector,298.34,8049,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2756.png,
2757,GNOGONS #2757,XGNOGONS-0a6d4c-0AC5,97,99,91,96,94,99,Pure Red,Bone,Spirit,24 Karat,Emerald,Oceanic,Steel Scales,Silver,None,Protector,425.96,1853,https://ipfs.io/ipfs/QmdCEkyaafqZgmeydXfyWmB71qhHf1WSyGmRtv1SzDFq31/2757.png,
