EDITION,NAME,TOKEN,ATTRIBUTE:MODEL,ATTRIBUTE:RANK,ATTRIBUTE:POWER,ATTRIBUTE:ATTACK,ATTRIBUTE:DEFENSE,ATTRIBUTE:SPEED,ATTRIBUTE:ACCURACY,ATTRIBUTE:RAM,ATTRIBUTE:BACKGROUND,ATTRIBUTE:WEAPON,ATTRIBUTE:BODY,ATTRIBUTE:EXPRESSION,ATTRIBUTE:ARMOR,ATTRIBUTE:MASK,ATTRIBUTE:EYEWEAR,ATTRIBUTE:HEAD,ATTRIBUTE:NECKLACE,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
1158,ValidatorV2 #1158,XVTWO-fcc831-0486,Omega,NONE,91,95,98,86,99,94,Crimson,Standard Issue,Gnogen Alternate,Angry,Space Suit,Flight,Fashion,Flower,NONE,645.4302226,585,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1158.png,
1159,ValidatorV2 #1159,XVTWO-fcc831-0487,Omega,NONE,83,99,99,100,93,93,Crimson,Standard Issue,Gnogen Alternate,Bored,Spiked Jacket,NONE,Fashion,NONE,NONE,629.6169133,1895,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1159.png,
1160,ValidatorV2 #1160,XVTWO-fcc831-0488,Omega,NONE,76,87,89,89,89,91,Crimson,Pistol,Gnogen Orange,Dead,Trainee,NONE,NONE,NONE,NONE,571.368674,9505,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1160.png,
1161,ValidatorV2 #1161,XVTWO-fcc831-0489,Omega,1,93,100,93,95,94,87,Taupe,Sword,Gnogen Orange,Angry,War Suit,NONE,NONE,Samurai,NONE,626.8519336,2236,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1161.png,
1162,ValidatorV2 #1162,XVTWO-fcc831-048A,Omega,1,93,93,87,89,92,90,Orange,Robo Arms,Gnogen Alternate,Disappointed,Alternate T Shirt,NONE,NONE,NONE,NONE,610.6345287,4783,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1162.png,
1163,ValidatorV2 #1163,XVTWO-fcc831-048B,Omega,NONE,89,86,100,93,86,88,Orange,Hoverboard,Gnogen Orange,Angry,T Shirt,NONE,NONE,Horns,NONE,601.715456,6165,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1163.png,
1164,ValidatorV2 #1164,XVTWO-fcc831-048C,Omega,NONE,62,87,94,94,96,99,Taupe,Dual Blade,Gnogen Orange,Normal,Puffer Jacket,NONE,NONE,NONE,NONE,574.654384,9298,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1164.png,
1165,ValidatorV2 #1165,XVTWO-fcc831-048D,Omega,NONE,86,92,98,92,85,99,Crimson,Standard Issue,Gnogen Alternate,Normal,School Girl,NONE,Scanner,NONE,NONE,615.3670494,4017,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1165.png,
1166,ValidatorV2 #1166,XVTWO-fcc831-048E,Omega,NONE,70,93,91,99,91,91,Gray,Hoverboard,Gnogen Alternate,Smirk,Shield,NONE,NONE,Hockey,Diamond,593.7293459,7338,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1166.png,
1167,ValidatorV2 #1167,XVTWO-fcc831-048F,Omega,NONE,94,94,90,96,95,91,Taupe,Photon Cannon,Gnogen Alternate,Angry,Blouse,NONE,NONE,Flower,NONE,629.8986864,1858,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1167.png,
1168,ValidatorV2 #1168,XVTWO-fcc831-0490,Omega,NONE,80,94,95,99,95,90,Orange,NONE,Gnogen Alternate,Smirk,Fancy Dress,NONE,NONE,NONE,NONE,609.265277,4980,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1168.png,
1169,ValidatorV2 #1169,XVTWO-fcc831-0491,Omega,NONE,95,91,85,99,90,97,Taupe,Hacker,Gnogen Orange,Smirk,Fancy Dress,NONE,NONE,Alternate Cap,NONE,628.7322175,2002,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1169.png,
1170,ValidatorV2 #1170,XVTWO-fcc831-0492,Omega,NONE,66,86,87,86,86,91,Taupe,Standard Issue,Gnogen Alternate,Angry,Plain Jacket,NONE,NONE,Flower,NONE,556.3507734,9930,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1170.png,
1171,ValidatorV2 #1171,XVTWO-fcc831-0493,Omega,NONE,61,99,94,96,96,90,Crimson,Laser Gun,Gnogen Alternate,Serious,Street Hoodie,NONE,NONE,NONE,NONE,580.8823054,8818,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1171.png,
1172,ValidatorV2 #1172,XVTWO-fcc831-0494,Omega,NONE,87,95,90,99,100,86,Gray,Pistol,Gnogen Orange,Serious,Assassin,NONE,NONE,NONE,NONE,618.396425,3515,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1172.png,
1173,ValidatorV2 #1173,XVTWO-fcc831-0495,Omega,NONE,86,95,91,94,89,88,Gray,Axe,Gnogen Alternate,Normal,Street Hoodie,NONE,NONE,NONE,NONE,600.3466153,6372,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1173.png,
1174,ValidatorV2 #1174,XVTWO-fcc831-0496,Omega,NONE,99,91,87,96,93,86,Cream,Sword,Gnogen Orange,Normal,Shaw,NONE,NONE,NONE,NONE,648.6662462,467,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1174.png,
1175,ValidatorV2 #1175,XVTWO-fcc831-0497,Omega,NONE,76,86,100,91,96,96,Crimson,AK47,Gnogen Alternate,Normal,Tech Jacket,NONE,Scanner,NONE,NONE,600.3730411,6367,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1175.png,
1176,ValidatorV2 #1176,XVTWO-fcc831-0498,Omega,NONE,81,92,90,91,95,97,Cream,Katana,Gnogen Orange,Dead,Street Hoodie,NONE,NONE,NONE,V Pendant,607.5176291,5265,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1176.png,
1177,ValidatorV2 #1177,XVTWO-fcc831-0499,Omega,NONE,78,93,89,91,96,93,Cream,Fairy Wings,Gnogen Alternate,Normal,Space Suit,NONE,NONE,Hockey,NONE,601.7429123,6162,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1177.png,
1178,ValidatorV2 #1178,XVTWO-fcc831-049A,Omega,NONE,95,97,92,85,87,85,Crimson,Hoverboard,Gnogen Alternate,Dead,Fancy Dress,NONE,NONE,Racer,NONE,604.5142829,5752,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1178.png,
1179,ValidatorV2 #1179,XVTWO-fcc831-049B,Omega,NONE,87,86,97,93,93,88,Orange,Dual Blade,Gnogen Alternate,Bored,Turtleneck,NONE,NONE,Beanie,NONE,605.0954723,5660,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1179.png,
1180,ValidatorV2 #1180,XVTWO-fcc831-049C,Omega,NONE,89,96,87,95,98,85,Orange,Drone,Gnogen Alternate,Angry,Tech Jacket,NONE,NONE,Beanie,NONE,607.9410183,5194,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1180.png,
1181,ValidatorV2 #1181,XVTWO-fcc831-049D,Omega,NONE,95,96,87,96,94,88,Gray,Bow & Arrow,Gnogen Alternate,Dead,Tribal,NONE,NONE,NONE,NONE,687.1258817,57,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1181.png,
1182,ValidatorV2 #1182,XVTWO-fcc831-049E,Omega,NONE,78,90,96,95,98,86,Crimson,Hacker,Gnogen Alternate,Disappointed,T Shirt,NONE,NONE,Halo,NONE,597.9868878,6716,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1182.png,
1183,ValidatorV2 #1183,XVTWO-fcc831-049F,Omega,NONE,88,86,97,87,93,89,Gray,Rocket Launcher,Gnogen Alternate,Normal,Flannel,NONE,Snowboarder,Tiara,NONE,618.0585482,3564,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1183.png,
1184,ValidatorV2 #1184,XVTWO-fcc831-04A0,Omega,NONE,65,97,89,99,86,99,Orange,Drone,Gnogen Orange,Angry,Blouse,Exo,NONE,Alternate Beanie,NONE,599.1139744,6548,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1184.png,
1185,ValidatorV2 #1185,XVTWO-fcc831-04A1,Omega,NONE,81,99,90,87,98,86,Crimson,Scythe,Gnogen Alternate,Angry,Cannons,NONE,NONE,NONE,NONE,594.1335822,7284,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1185.png,
1186,ValidatorV2 #1186,XVTWO-fcc831-04A2,Omega,NONE,93,96,85,95,98,89,Taupe,Sword,Gnogen Orange,Dead,Space Suit,NONE,NONE,NONE,NONE,614.9977776,4077,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1186.png,
1187,ValidatorV2 #1187,XVTWO-fcc831-04A3,Omega,NONE,80,95,95,98,95,100,Crimson,Dual Blade,Gnogen Alternate,Smirk,Bougie Hoodie,NONE,Scanner,NONE,NONE,623.4847836,2727,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1187.png,
1188,ValidatorV2 #1188,XVTWO-fcc831-04A4,Omega,3,93,93,100,98,93,94,Taupe,Fairy Wings,Gnogen Alternate,Serious,Trainee,NONE,NONE,Tiara,NONE,653.3158408,337,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1188.png,
1189,ValidatorV2 #1189,XVTWO-fcc831-04A5,Omega,NONE,77,96,88,88,91,86,Cream,Great Sword,Gnogen Orange,Normal,Bunny Ears,NONE,NONE,NONE,NONE,600.5321549,6338,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1189.png,
1190,ValidatorV2 #1190,XVTWO-fcc831-04A6,Omega,2,99,90,89,97,99,97,Crimson,Dual Blade,Gnogen Alternate,Normal,Red Riding Hood,NONE,Scientist,NONE,NONE,654.9707688,298,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1190.png,
1191,ValidatorV2 #1191,XVTWO-fcc831-04A7,Omega,NONE,100,91,91,85,87,92,Cream,Bow & Arrow,Gnogen Alternate,Smirk,Puffer,NONE,NONE,Tiara,NONE,622.6919409,2860,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1191.png,
1192,ValidatorV2 #1192,XVTWO-fcc831-04A8,Omega,NONE,83,90,97,95,95,99,Taupe,Stick,Gnogen Orange,Dead,Cannons,NONE,NONE,Halo,NONE,616.5562897,3828,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1192.png,
1193,ValidatorV2 #1193,XVTWO-fcc831-04A9,Omega,NONE,87,100,95,92,100,99,Orange,Sword,Gnogen Alternate,Dead,T Shirt,NONE,Snowboarder,Tiara,LB,653.1069046,345,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1193.png,
1194,ValidatorV2 #1194,XVTWO-fcc831-04AA,Omega,NONE,59,99,95,96,92,99,Crimson,NONE,Gnogen Alternate,Disappointed,Trainee,NONE,NONE,Alternate Beanie,NONE,585.2755847,8382,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1194.png,
1195,ValidatorV2 #1195,XVTWO-fcc831-04AB,Omega,NONE,89,87,89,87,89,97,Gray,Standard Issue,Gnogen Alternate,Normal,Plain Dress,NONE,NONE,NONE,NONE,598.8889081,6577,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1195.png,
1196,ValidatorV2 #1196,XVTWO-fcc831-04AC,Omega,NONE,83,99,95,86,90,98,Cream,Drone,Gnogen Alternate,Deadeye,Red Riding Hood,NONE,NONE,NONE,NONE,626.6990538,2254,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1196.png,
1197,ValidatorV2 #1197,XVTWO-fcc831-04AD,Omega,NONE,83,87,90,99,87,100,Taupe,Photon Cannon,Gnogen Alternate,Disappointed,Shield,P100,Poet Glasses,NONE,NONE,621.7148375,2999,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1197.png,
1198,ValidatorV2 #1198,XVTWO-fcc831-04AE,Omega,NONE,98,92,96,98,85,91,Orange,AK47,Gnogen Alternate,Bored,Red Riding Hood,NONE,NONE,NONE,NONE,636.6887597,1146,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1198.png,
1199,ValidatorV2 #1199,XVTWO-fcc831-04AF,Omega,NONE,81,85,93,88,85,85,Taupe,Great Sword,Gnogen Orange,Bored,T Shirt,NONE,Snowboarder,NONE,NONE,577.7493452,9051,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1199.png,
1200,ValidatorV2 #1200,XVTWO-fcc831-04B0,Omega,NONE,94,91,96,99,90,100,Orange,AK47,Gnogen Alternate,Normal,War Suit,NONE,NONE,NONE,NONE,631.8335193,1626,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1200.png,
1201,ValidatorV2 #1201,XVTWO-fcc831-04B1,Omega,NONE,99,89,88,90,98,90,Gray,Dual Blade,Gnogen Orange,Dead,Blouse,Far East,NONE,NONE,Gem,636.4471028,1170,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1201.png,
1202,ValidatorV2 #1202,XVTWO-fcc831-04B2,Omega,NONE,72,93,94,90,96,93,Gray,Sniper Rifle,Gnogen Alternate,Smirk,Shield,NONE,NONE,NONE,NONE,589.7213793,7848,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1202.png,
1203,ValidatorV2 #1203,XVTWO-fcc831-04B3,Omega,1,100,87,100,87,88,94,Crimson,Sword,Gnogen Alternate,Normal,Tech Jacket,Flight,NONE,Sailor,NONE,630.7335845,1745,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1203.png,
1204,ValidatorV2 #1204,XVTWO-fcc831-04B4,Omega,NONE,100,92,100,93,86,87,Gray,Bow & Arrow,Gnogen Orange,Angry,Alternate T Shirt,NONE,NONE,Beanie,NONE,624.7474223,2541,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1204.png,
1205,ValidatorV2 #1205,XVTWO-fcc831-04B5,Omega,NONE,92,86,86,100,97,93,Orange,Fairy Wings,Gnogen Alternate,Dead,Cannons,NONE,NONE,NONE,NONE,619.625598,3316,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1205.png,
1206,ValidatorV2 #1206,XVTWO-fcc831-04B6,Omega,NONE,63,85,94,95,99,96,Cream,Katana,Gnogen Orange,Deadeye,Bunny Ears,NONE,NONE,NONE,NONE,605.5822289,5574,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1206.png,
1207,ValidatorV2 #1207,XVTWO-fcc831-04B7,Omega,NONE,82,95,92,99,93,97,Gray,Dual Blade,Gnogen Alternate,Normal,Tech Jacket,NONE,NONE,Alternate Beanie,NONE,612.9069341,4414,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1207.png,
1208,ValidatorV2 #1208,XVTWO-fcc831-04B8,Omega,NONE,90,89,98,94,89,89,Taupe,Robo Arms,Gnogen Orange,Angry,Puffer Jacket,NONE,NONE,Sailor,NONE,608.6513468,5074,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1208.png,
1209,ValidatorV2 #1209,XVTWO-fcc831-04B9,Omega,NONE,100,86,99,92,90,87,Gray,Bow & Arrow,Gnogen Alternate,Normal,War Suit,NONE,NONE,Alternate Beanie,NONE,622.5596483,2877,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1209.png,
1210,ValidatorV2 #1210,XVTWO-fcc831-04BA,Omega,NONE,69,95,98,95,94,85,Crimson,Dual Blade,Gnogen Orange,Dead,Fancy Dress,NONE,NONE,Racer,NONE,586.4025709,8249,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1210.png,
1211,ValidatorV2 #1211,XVTWO-fcc831-04BB,Omega,NONE,89,94,100,96,89,87,Gray,NONE,Gnogen Alternate,Disappointed,Alternate T Shirt,NONE,NONE,NONE,NONE,616.1647289,3891,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1211.png,
1212,ValidatorV2 #1212,XVTWO-fcc831-04BC,Omega,NONE,95,88,99,92,89,96,Taupe,Axe,Gnogen Alternate,Disappointed,Trainee,NONE,NONE,Racer,NONE,620.7484282,3131,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1212.png,
1213,ValidatorV2 #1213,XVTWO-fcc831-04BD,Omega,NONE,88,96,93,98,89,87,Gray,Great Sword,Gnogen Orange,Serious,Flannel,NONE,NONE,NONE,NONE,610.4196351,4816,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1213.png,
1214,ValidatorV2 #1214,XVTWO-fcc831-04BE,Omega,NONE,92,95,85,85,95,99,Taupe,Great Sword,Gnogen Alternate,Bored,Farmbot,Hidden,Scientist,NONE,Diamond,630.8309785,1729,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1214.png,
1215,ValidatorV2 #1215,XVTWO-fcc831-04BF,Omega,NONE,83,89,86,95,89,87,Crimson,Katana,Gnogen Orange,Dead,Shaw,NONE,NONE,NONE,NONE,616.8240122,3787,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1215.png,
1216,ValidatorV2 #1216,XVTWO-fcc831-04C0,Omega,NONE,63,97,92,100,92,93,Crimson,Pistol,Gnogen Orange,Dead,Red Riding Hood,NONE,NONE,NONE,NONE,596.4279342,6953,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1216.png,
1217,ValidatorV2 #1217,XVTWO-fcc831-04C1,Omega,NONE,85,99,98,97,99,98,Taupe,Great Sword,Gnogen Alternate,Normal,Church,NONE,NONE,NONE,NONE,633.6517117,1442,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1217.png,
1218,ValidatorV2 #1218,XVTWO-fcc831-04C2,Omega,NONE,88,97,98,94,88,90,Taupe,Great Sword,Gnogen Alternate,Dead,Plain Jacket,NONE,NONE,Headband,NONE,615.6814775,3970,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1218.png,
1219,ValidatorV2 #1219,XVTWO-fcc831-04C3,Omega,NONE,79,85,86,100,90,87,Taupe,Pistol,Gnogen Alternate,Angry,Church,NONE,NONE,Alternate Cap,NONE,590.7286482,7742,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1219.png,
1220,ValidatorV2 #1220,XVTWO-fcc831-04C4,Omega,NONE,98,95,92,88,86,85,Taupe,Katana,Gnogen Alternate,Angry,Street Hoodie,NONE,NONE,Racer,NONE,608.5936643,5081,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1220.png,
1221,ValidatorV2 #1221,XVTWO-fcc831-04C5,Omega,3,90,92,94,97,98,96,Taupe,Robo Arms,Gnogen Alternate,Normal,Bougie Hoodie,NONE,NONE,NONE,NONE,630.0388124,1832,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1221.png,
1222,ValidatorV2 #1222,XVTWO-fcc831-04C6,Omega,NONE,79,98,99,99,99,96,Orange,Great Sword,Gnogen Orange,Normal,Bougie Hoodie,NONE,Scanner,Cap,NONE,630.694327,1749,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1222.png,
1223,ValidatorV2 #1223,XVTWO-fcc831-04C7,Omega,NONE,60,91,89,91,89,89,Taupe,Robo Arms,Gnogen Orange,Angry,Turtleneck,NONE,NONE,Flower,NONE,561.3749421,9859,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1223.png,
1224,ValidatorV2 #1224,XVTWO-fcc831-04C8,Omega,NONE,77,91,92,92,94,95,Crimson,Drone,Gnogen Orange,Dead,Shield,NONE,NONE,Halo,NONE,596.3565642,6964,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1224.png,
1225,ValidatorV2 #1225,XVTWO-fcc831-04C9,Omega,NONE,64,91,86,87,95,93,Taupe,Sniper Rifle,Gnogen Alternate,Normal,Church,NONE,NONE,Beanie,NONE,565.4091518,9761,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1225.png,
1226,ValidatorV2 #1226,XVTWO-fcc831-04CA,Omega,NONE,96,95,88,93,88,86,Taupe,Hoverboard,Gnogen Alternate,Disappointed,School Girl,NONE,Poet Glasses,Headband,LB,621.0507618,3088,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1226.png,
1227,ValidatorV2 #1227,XVTWO-fcc831-04CB,Omega,NONE,76,87,93,92,87,97,Gray,Axe,Gnogen Alternate,Normal,Shield,NONE,NONE,NONE,NONE,582.9036139,8634,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1227.png,
1228,ValidatorV2 #1228,XVTWO-fcc831-04CC,Omega,3,91,92,93,96,100,93,Crimson,Axe,Gnogen Alternate,Normal,Space Suit,NONE,NONE,Alternate Cap,Gem,643.9636113,647,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1228.png,
1229,ValidatorV2 #1229,XVTWO-fcc831-04CD,Omega,NONE,82,86,95,89,99,100,Gray,Fairy Wings,Gnogen Alternate,Bored,Spiked Jacket,NONE,Fashion,Horns,NONE,625.027455,2506,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1229.png,
1230,ValidatorV2 #1230,XVTWO-fcc831-04CE,Omega,NONE,98,98,90,100,89,92,Orange,NONE,Gnogen Alternate,Normal,Alternate T Shirt,NONE,NONE,Cap,NONE,632.5771478,1539,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1230.png,
1231,ValidatorV2 #1231,XVTWO-fcc831-04CF,Omega,NONE,70,85,88,97,100,87,Crimson,Sniper Rifle,Gnogen Alternate,Normal,Plain Dress,NONE,NONE,NONE,NONE,580.2295532,8870,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1231.png,
1232,ValidatorV2 #1232,XVTWO-fcc831-04D0,Omega,1,96,90,91,91,99,98,Crimson,Hacker,Gnogen Orange,Deadeye,Engineer,NONE,NONE,NONE,NONE,634.5770405,1346,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1232.png,
1233,ValidatorV2 #1233,XVTWO-fcc831-04D1,Omega,NONE,81,94,98,90,98,94,Orange,Sword,Gnogen Alternate,Dead,Engineer,NONE,NONE,NONE,NONE,608.0953981,5173,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1233.png,
1234,ValidatorV2 #1234,XVTWO-fcc831-04D2,Omega,NONE,79,93,95,98,86,91,Taupe,Fairy Wings,Gnogen Alternate,Smirk,Fancy Dress,NONE,Scientist,NONE,Gem,618.1122345,3555,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1234.png,
1235,ValidatorV2 #1235,XVTWO-fcc831-04D3,Omega,1,95,94,92,97,87,98,Crimson,Rocket Launcher,Gnogen Alternate,Dead,Shield,NONE,Display,NONE,NONE,638.9901213,974,https://media.elrond.com/nfts/asset/QmdTHBy1hsqZtSpnLDn19nJ588vHRVPEewb7Jv8fZBvgWN/1235.png,
