EDITION,NAME,TOKEN,ATTRIBUTE:COLLECTION,ATTRIBUTE:TITLE,ATTRIBUTE:MINTAGE,ATTRIBUTE:POWER,ATTRIBUTE:YEAR,ATTRIBUTE:SCORE,RANKING,MEDIA:ORIGINAL,MEDIA:THUMBNAIL
107,Emidas Digital Action Figure,XSUPREMES-40d4d0-6B,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
108,Emidas Digital Action Figure,XSUPREMES-40d4d0-6C,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
109,Emidas Digital Action Figure,XSUPREMES-40d4d0-6D,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
110,Emidas Digital Action Figure,XSUPREMES-40d4d0-6E,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
111,Emidas Digital Action Figure,XSUPREMES-40d4d0-6F,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
112,Emidas Digital Action Figure,XSUPREMES-40d4d0-70,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
113,Emidas Digital Action Figure,XSUPREMES-40d4d0-71,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
114,Emidas Digital Action Figure,XSUPREMES-40d4d0-72,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
115,Emidas Digital Action Figure,XSUPREMES-40d4d0-73,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
116,Emidas Digital Action Figure,XSUPREMES-40d4d0-74,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
117,Emidas Digital Action Figure,XSUPREMES-40d4d0-75,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
118,Emidas Digital Action Figure,XSUPREMES-40d4d0-76,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
119,Emidas Digital Action Figure,XSUPREMES-40d4d0-77,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
120,Emidas Digital Action Figure,XSUPREMES-40d4d0-78,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
121,Emidas Digital Action Figure,XSUPREMES-40d4d0-79,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
122,Emidas Digital Action Figure,XSUPREMES-40d4d0-7A,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
123,Emidas Digital Action Figure,XSUPREMES-40d4d0-7B,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
124,Emidas Digital Action Figure,XSUPREMES-40d4d0-7C,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
125,Emidas Digital Action Figure,XSUPREMES-40d4d0-7D,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
126,Emidas Digital Action Figure,XSUPREMES-40d4d0-7E,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
127,Emidas Digital Action Figure,XSUPREMES-40d4d0-7F,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
128,Emidas Digital Action Figure,XSUPREMES-40d4d0-80,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
129,Emidas Digital Action Figure,XSUPREMES-40d4d0-81,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
130,Emidas Digital Action Figure,XSUPREMES-40d4d0-82,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
131,Emidas Digital Action Figure,XSUPREMES-40d4d0-83,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
132,Emidas Digital Action Figure,XSUPREMES-40d4d0-84,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
133,Emidas Digital Action Figure,XSUPREMES-40d4d0-85,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
134,Emidas Digital Action Figure,XSUPREMES-40d4d0-86,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
135,Emidas Digital Action Figure,XSUPREMES-40d4d0-87,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
136,Emidas Digital Action Figure,XSUPREMES-40d4d0-88,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
137,Emidas Digital Action Figure,XSUPREMES-40d4d0-89,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
138,Emidas Digital Action Figure,XSUPREMES-40d4d0-8A,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
139,Emidas Digital Action Figure,XSUPREMES-40d4d0-8B,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
140,Emidas Digital Action Figure,XSUPREMES-40d4d0-8C,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
141,Emidas Digital Action Figure,XSUPREMES-40d4d0-8D,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
142,Emidas Digital Action Figure,XSUPREMES-40d4d0-8E,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
143,Emidas Digital Action Figure,XSUPREMES-40d4d0-8F,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
144,Emidas Digital Action Figure,XSUPREMES-40d4d0-90,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
145,Emidas Digital Action Figure,XSUPREMES-40d4d0-91,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
146,Emidas Digital Action Figure,XSUPREMES-40d4d0-92,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
147,Emidas Digital Action Figure,XSUPREMES-40d4d0-93,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
148,Emidas Digital Action Figure,XSUPREMES-40d4d0-94,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
149,Emidas Digital Action Figure,XSUPREMES-40d4d0-95,Supreme Heroes,Emidas Digital Action Figure,150,200,2022,N/A,N/A,https://ipfs.io/ipfs/QmcWmeXrzbvTLmnXRkiVnQmEMS7GqKQHGgunWHpa3BLosg,
